sentence,intent
exclude category column,DROP_COLUMN
kindly ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
can you encode categories in department as integers,LABEL_ENCODE_COLUMN
help me to country delete,DROP_COLUMN
I need to apply min max scaling to income,NORMALIZE_COLUMN
clean duplicate observations,REMOVE_DUPLICATES_ROWS
I need to keep only unique rows,REMOVE_DUPLICATES_ROWS
city fill missing with most common value,FILL_NA
please apply standard scaler to rating,STANDARDIZE_COLUMN
kindly convert department to numbers,LABEL_ENCODE_COLUMN
could you salary remove outliers,REMOVE_OUTLIERS_COLUMN
I need to status remove,DROP_COLUMN
bring quantity to range 0 and 1,NORMALIZE_COLUMN
kindly apply min max scaling to age,NORMALIZE_COLUMN
score standardization,STANDARDIZE_COLUMN
please exclude abnormal income values,REMOVE_OUTLIERS_COLUMN
I want to substitute null values in department by median,FILL_NA
I want to drop all duplicates,REMOVE_DUPLICATES_ROWS
standard scale income,STANDARDIZE_COLUMN
please set department datatype as float,TYPE_CAST
get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
can you change status into int,TYPE_CAST
I need to typecast city into string,TYPE_CAST
please remove the category feature,DROP_COLUMN
apply z score normalization to price,STANDARDIZE_COLUMN
convert country into numeric labels,LABEL_ENCODE_COLUMN
experience remove outliers,REMOVE_OUTLIERS_COLUMN
I need to convert categorical values in gender to labels,LABEL_ENCODE_COLUMN
normalize experience,NORMALIZE_COLUMN
I want to income standardization,STANDARDIZE_COLUMN
perform standard scaling on quantity,STANDARDIZE_COLUMN
please transform income to zero mean and unit variance,STANDARDIZE_COLUMN
kindly deduplicate the dataset,REMOVE_DUPLICATES_ROWS
I need to drop extreme rating,REMOVE_OUTLIERS_COLUMN
country delete,DROP_COLUMN
remove extreme price values,REMOVE_OUTLIERS_COLUMN
status should be float,TYPE_CAST
I need to convert categorical values in category to labels,LABEL_ENCODE_COLUMN
erase category,DROP_COLUMN
could you experience remove outliers,REMOVE_OUTLIERS_COLUMN
convert country into numeric labels,LABEL_ENCODE_COLUMN
city encode,LABEL_ENCODE_COLUMN
standard scale quantity,STANDARDIZE_COLUMN
I want to set department datatype as int,TYPE_CAST
I need to omit country field,DROP_COLUMN
kindly drop all duplicates,REMOVE_DUPLICATES_ROWS
please delete category from the dataset,DROP_COLUMN
please transform category using label encoder,LABEL_ENCODE_COLUMN
I want to transform country using label encoder,LABEL_ENCODE_COLUMN
kindly status encode,LABEL_ENCODE_COLUMN
please filter extreme values from price,REMOVE_OUTLIERS_COLUMN
drop anomalous data points in age,REMOVE_OUTLIERS_COLUMN
could you apply min max scaling to price,NORMALIZE_COLUMN
I want to use most common value strategy to treat blank values in category,FILL_NA
change city into float,TYPE_CAST
cast category as string,TYPE_CAST
set city datatype as string,TYPE_CAST
kindly city encode,LABEL_ENCODE_COLUMN
replace all blank in status by average,FILL_NA
resolve missing issue in gender,FILL_NA
convert city to numbers,LABEL_ENCODE_COLUMN
get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
can you convert category into numeric labels,LABEL_ENCODE_COLUMN
rescale age using min max normalization,NORMALIZE_COLUMN
drop column department,DROP_COLUMN
could you apply z score normalization to income,STANDARDIZE_COLUMN
transform score to zero mean and unit variance,STANDARDIZE_COLUMN
income remove outliers,REMOVE_OUTLIERS_COLUMN
I want to experience normalization,NORMALIZE_COLUMN
can you perform normalization on price,NORMALIZE_COLUMN
help me to apply median imputation on category,FILL_NA
normalize salary,NORMALIZE_COLUMN
standardize the values of quantity,STANDARDIZE_COLUMN
min max normalize income,NORMALIZE_COLUMN
delete gender from the dataset,DROP_COLUMN
get rid of outliers in age,REMOVE_OUTLIERS_COLUMN
replace all blank in category by median,FILL_NA
can you take out department,DROP_COLUMN
could you apply standard scaler to rating,STANDARDIZE_COLUMN
please erase gender,DROP_COLUMN
I want to drop country,DROP_COLUMN
status remove,DROP_COLUMN
label encode department,LABEL_ENCODE_COLUMN
get rid of outliers in experience,REMOVE_OUTLIERS_COLUMN
I need to standard scale income,STANDARDIZE_COLUMN
city encode,LABEL_ENCODE_COLUMN
kindly country convert to float,TYPE_CAST
please perform normalization on quantity,NORMALIZE_COLUMN
standardize experience,STANDARDIZE_COLUMN
kindly eliminate column named city,DROP_COLUMN
drop all duplicates,REMOVE_DUPLICATES_ROWS
clean blank data in category using median,FILL_NA
keep only unique rows,REMOVE_DUPLICATES_ROWS
can you fix blank values in gender with average,FILL_NA
help me to drop city,DROP_COLUMN
could you remove redundant rows,REMOVE_DUPLICATES_ROWS
I need to apply mean imputation on gender,FILL_NA
please change data type of status to int,TYPE_CAST
label encode city,LABEL_ENCODE_COLUMN
I need to encode categories in city as integers,LABEL_ENCODE_COLUMN
apply z score normalization to income,STANDARDIZE_COLUMN
rescale experience using min max normalization,NORMALIZE_COLUMN
kindly no duplicate rows,REMOVE_DUPLICATES_ROWS
I need to clean null data in city using average,FILL_NA
can you transform gender using label encoder,LABEL_ENCODE_COLUMN
help me to exclude abnormal income values,REMOVE_OUTLIERS_COLUMN
delete gender from the dataset,DROP_COLUMN
help me to transform gender into float type,TYPE_CAST
help me to quantity remove outliers,REMOVE_OUTLIERS_COLUMN
transform status using label encoder,LABEL_ENCODE_COLUMN
can you apply min max scaling to age,NORMALIZE_COLUMN
please apply standard scaler to age,STANDARDIZE_COLUMN
could you fill na in city using mode,FILL_NA
encode gender,LABEL_ENCODE_COLUMN
"rescale experience to [0,1]",NORMALIZE_COLUMN
standardize experience,STANDARDIZE_COLUMN
turn department into string,TYPE_CAST
change department into string,TYPE_CAST
eliminate abnormal values in price,REMOVE_OUTLIERS_COLUMN
apply min max scaling to price,NORMALIZE_COLUMN
take out country,DROP_COLUMN
convert gender to integer,TYPE_CAST
handle unknown values for category with most common value,FILL_NA
I need to fix missing values in city with average,FILL_NA
can you remove city attribute completely,DROP_COLUMN
remove city attribute completely,DROP_COLUMN
clean null data in department using average,FILL_NA
change status into int,TYPE_CAST
remove duplicate rows,REMOVE_DUPLICATES_ROWS
z-score normalize score,STANDARDIZE_COLUMN
apply standard scaler to salary,STANDARDIZE_COLUMN
can you min max normalize income,NORMALIZE_COLUMN
can you replace all null in city by mode,FILL_NA
transform gender into int type,TYPE_CAST
can you ensure dataset has no duplicate rows,REMOVE_DUPLICATES_ROWS
status fill missing with mode,FILL_NA
remove the category feature,DROP_COLUMN
I need to mean imputation for country,FILL_NA
kindly remove row duplicates,REMOVE_DUPLICATES_ROWS
could you status label encoding,LABEL_ENCODE_COLUMN
could you omit category field,DROP_COLUMN
transform status into int type,TYPE_CAST
turn gender into integer,TYPE_CAST
city should be int,TYPE_CAST
take out gender,DROP_COLUMN
kindly make dataset unique,REMOVE_DUPLICATES_ROWS
help me to replace null data in gender with average,FILL_NA
please z score scale experience,STANDARDIZE_COLUMN
country fill missing with mode,FILL_NA
help me to get rid of country,DROP_COLUMN
typecast status into float,TYPE_CAST
change city into int,TYPE_CAST
could you standardize quantity,STANDARDIZE_COLUMN
remove row duplicates,REMOVE_DUPLICATES_ROWS
kindly perform normalization on score,NORMALIZE_COLUMN
please get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
can you standardize the values of income,STANDARDIZE_COLUMN
I want to delete repeated records,REMOVE_DUPLICATES_ROWS
get rid of outliers in rating,REMOVE_OUTLIERS_COLUMN
use mode strategy to treat missing values in status,FILL_NA
fix empty values in gender with median,FILL_NA
convert age to 0-1 range,NORMALIZE_COLUMN
eliminate column named category,DROP_COLUMN
omit country field,DROP_COLUMN
filter extreme values from rating,REMOVE_OUTLIERS_COLUMN
please trim extreme observations in age,REMOVE_OUTLIERS_COLUMN
convert categorical values in country to labels,LABEL_ENCODE_COLUMN
can you replace blank data in status with average,FILL_NA
kindly make dataset unique,REMOVE_DUPLICATES_ROWS
no duplicate rows,REMOVE_DUPLICATES_ROWS
trim extreme observations in score,REMOVE_OUTLIERS_COLUMN
exclude abnormal score values,REMOVE_OUTLIERS_COLUMN
replace empty data in gender with average,FILL_NA
can you country encode,LABEL_ENCODE_COLUMN
z-score normalize rating,STANDARDIZE_COLUMN
make price between 0 and 1,NORMALIZE_COLUMN
I need to label encode city,LABEL_ENCODE_COLUMN
could you typecast city into float,TYPE_CAST
please transform gender using label encoder,LABEL_ENCODE_COLUMN
I need to trim extreme observations in income,REMOVE_OUTLIERS_COLUMN
kindly get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
could you get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
apply min max scaling to age,NORMALIZE_COLUMN
apply feature scaling to price,NORMALIZE_COLUMN
convert categorical values in country to labels,LABEL_ENCODE_COLUMN
normalize price,NORMALIZE_COLUMN
z score scale income,STANDARDIZE_COLUMN
update gender type to integer,TYPE_CAST
get rid of outliers in income,REMOVE_OUTLIERS_COLUMN
country encode,LABEL_ENCODE_COLUMN
apply min max scaling to age,NORMALIZE_COLUMN
clean outliers from salary,REMOVE_OUTLIERS_COLUMN
remove duplicate rows,REMOVE_DUPLICATES_ROWS
apply standard scaler to income,STANDARDIZE_COLUMN
clean outliers from experience,REMOVE_OUTLIERS_COLUMN
remove row duplicates,REMOVE_DUPLICATES_ROWS
change category into float,TYPE_CAST
eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
please update category type to integer,TYPE_CAST
convert age to z scores,STANDARDIZE_COLUMN
can you scale age between 0 and 1,NORMALIZE_COLUMN
convert category to int,TYPE_CAST
update category type to float,TYPE_CAST
kindly convert city to numbers,LABEL_ENCODE_COLUMN
please exclude category column,DROP_COLUMN
use median strategy to treat null values in city,FILL_NA
I want to delete repeated records,REMOVE_DUPLICATES_ROWS
I want to replace all blank in country by median,FILL_NA
get rid of outliers in age,REMOVE_OUTLIERS_COLUMN
z score scale score,STANDARDIZE_COLUMN
kindly take out department,DROP_COLUMN
kindly perform missing value imputation on gender using mean,FILL_NA
transform country using label encoder,LABEL_ENCODE_COLUMN
label encode city,LABEL_ENCODE_COLUMN
I want to substitute missing values in gender by mode,FILL_NA
I want to fill missing values in country using median,FILL_NA
convert categorical values in department to labels,LABEL_ENCODE_COLUMN
change city into float,TYPE_CAST
kindly clean duplicates,REMOVE_DUPLICATES_ROWS
can you apply median imputation on category,FILL_NA
I want to remove extreme income values,REMOVE_OUTLIERS_COLUMN
encode categories in category as integers,LABEL_ENCODE_COLUMN
remove row duplicates,REMOVE_DUPLICATES_ROWS
assign labels to department,LABEL_ENCODE_COLUMN
I want to department encode,LABEL_ENCODE_COLUMN
assign labels to status,LABEL_ENCODE_COLUMN
perform standard scaling on salary,STANDARDIZE_COLUMN
replace all unknown in department by mode,FILL_NA
I want to make age between 0 and 1,NORMALIZE_COLUMN
could you drop extreme quantity,REMOVE_OUTLIERS_COLUMN
I want to update status type to float,TYPE_CAST
remove redundant rows,REMOVE_DUPLICATES_ROWS
I need to drop all duplicates,REMOVE_DUPLICATES_ROWS
please standardize the values of experience,STANDARDIZE_COLUMN
z-score normalize income,STANDARDIZE_COLUMN
can you resolve blank issue in gender,FILL_NA
set gender datatype as float,TYPE_CAST
clean outliers from price,REMOVE_OUTLIERS_COLUMN
can you cast category as float,TYPE_CAST
please substitute null values in status by mode,FILL_NA
can you drop category,DROP_COLUMN
could you remove duplicate rows,REMOVE_DUPLICATES_ROWS
help me to change data type of department to float,TYPE_CAST
can you fill na in city using median,FILL_NA
apply z score normalization to age,STANDARDIZE_COLUMN
drop extreme rating,REMOVE_OUTLIERS_COLUMN
standard scale experience,STANDARDIZE_COLUMN
I want to z score scale rating,STANDARDIZE_COLUMN
please assign labels to country,LABEL_ENCODE_COLUMN
kindly resolve unknown issue in category,FILL_NA
help me to perform missing value imputation on department using median,FILL_NA
detect and remove outliers for rating,REMOVE_OUTLIERS_COLUMN
remove row duplicates,REMOVE_DUPLICATES_ROWS
perform normalization on salary,NORMALIZE_COLUMN
apply average imputation on gender,FILL_NA
kindly drop anomalous data points in score,REMOVE_OUTLIERS_COLUMN
remove department attribute completely,DROP_COLUMN
country should be string,TYPE_CAST
could you set country datatype as float,TYPE_CAST
impute empty entries in gender using median,FILL_NA
impute unknown entries in gender using most common value,FILL_NA
apply mean imputation on department,FILL_NA
bring income to range 0 and 1,NORMALIZE_COLUMN
help me to turn department into integer,TYPE_CAST
can you clean duplicates,REMOVE_DUPLICATES_ROWS
could you impute null entries in city using median,FILL_NA
help me to use median strategy to treat null values in country,FILL_NA
delete repeated records,REMOVE_DUPLICATES_ROWS
remove outliers in salary,REMOVE_OUTLIERS_COLUMN
replace all null in country by average,FILL_NA
can you encode category,LABEL_ENCODE_COLUMN
convert rating to 0-1 range,NORMALIZE_COLUMN
I need to remove outliers in price,REMOVE_OUTLIERS_COLUMN
"rescale salary to [0,1]",NORMALIZE_COLUMN
drop extreme experience,REMOVE_OUTLIERS_COLUMN
apply min max scaling to age,NORMALIZE_COLUMN
replace undefined data in department with average,FILL_NA
I need to turn category into string,TYPE_CAST
clean duplicates,REMOVE_DUPLICATES_ROWS
could you discard the city field,DROP_COLUMN
help me to map department categories to numbers,LABEL_ENCODE_COLUMN
could you update department type to string,TYPE_CAST
could you normalize income,NORMALIZE_COLUMN
filter extreme values from rating,REMOVE_OUTLIERS_COLUMN
discard the status field,DROP_COLUMN
cast city as string,TYPE_CAST
could you set category datatype as float,TYPE_CAST
trim extreme observations in age,REMOVE_OUTLIERS_COLUMN
kindly clean duplicates,REMOVE_DUPLICATES_ROWS
cast country as string,TYPE_CAST
assign labels to department,LABEL_ENCODE_COLUMN
update status type to integer,TYPE_CAST
can you scale income between 0 and 1,NORMALIZE_COLUMN
remove the gender feature,DROP_COLUMN
can you rating standardization,STANDARDIZE_COLUMN
help me to take out city,DROP_COLUMN
I want to convert income to z scores,STANDARDIZE_COLUMN
erase status,DROP_COLUMN
median imputation for country,FILL_NA
apply min max scaling to score,NORMALIZE_COLUMN
I need to perform missing value imputation on country using most common value,FILL_NA
transform quantity to zero mean and unit variance,STANDARDIZE_COLUMN
kindly country label encoding,LABEL_ENCODE_COLUMN
assign labels to department,LABEL_ENCODE_COLUMN
min max normalize income,NORMALIZE_COLUMN
city remove,DROP_COLUMN
change city into float,TYPE_CAST
please mean imputation for status,FILL_NA
remove redundant rows,REMOVE_DUPLICATES_ROWS
eliminate abnormal values in rating,REMOVE_OUTLIERS_COLUMN
help me to impute undefined entries in country using average,FILL_NA
remove the status feature,DROP_COLUMN
make status a string column,TYPE_CAST
standardize rating,STANDARDIZE_COLUMN
kindly gender should be int,TYPE_CAST
please salary standardization,STANDARDIZE_COLUMN
help me to update country type to int,TYPE_CAST
I want to standardize price,STANDARDIZE_COLUMN
can you delete repeated records,REMOVE_DUPLICATES_ROWS
perform standard scaling on price,STANDARDIZE_COLUMN
I need to get rid of city,DROP_COLUMN
category should be float,TYPE_CAST
z score scale income,STANDARDIZE_COLUMN
z-score normalize income,STANDARDIZE_COLUMN
help me to update gender type to int,TYPE_CAST
could you remove outliers in rating,REMOVE_OUTLIERS_COLUMN
delete repeated records,REMOVE_DUPLICATES_ROWS
use mode strategy to treat null values in country,FILL_NA
can you apply z score normalization to score,STANDARDIZE_COLUMN
help me to drop extreme score,REMOVE_OUTLIERS_COLUMN
convert department to numbers,LABEL_ENCODE_COLUMN
remove duplicate rows,REMOVE_DUPLICATES_ROWS
I want to get rid of outliers in score,REMOVE_OUTLIERS_COLUMN
delete repeated records,REMOVE_DUPLICATES_ROWS
"rescale score to [0,1]",NORMALIZE_COLUMN
encode department,LABEL_ENCODE_COLUMN
please use most frequent value strategy to treat NaN values in country,FILL_NA
convert score to z scores,STANDARDIZE_COLUMN
make department a integer column,TYPE_CAST
I need to eliminate abnormal values in quantity,REMOVE_OUTLIERS_COLUMN
please z score scale salary,STANDARDIZE_COLUMN
I want to department encode,LABEL_ENCODE_COLUMN
keep only unique rows,REMOVE_DUPLICATES_ROWS
eliminate column named status,DROP_COLUMN
apply standard scaler to score,STANDARDIZE_COLUMN
can you gender remove,DROP_COLUMN
"rescale score to [0,1]",NORMALIZE_COLUMN
fix blank values in country with mean,FILL_NA
I want to remove the city feature,DROP_COLUMN
please transform city using label encoder,LABEL_ENCODE_COLUMN
change data type of country to integer,TYPE_CAST
kindly score standardization,STANDARDIZE_COLUMN
please map gender categories to numbers,LABEL_ENCODE_COLUMN
erase category,DROP_COLUMN
help me to change data type of country to integer,TYPE_CAST
update category type to integer,TYPE_CAST
category should be string,TYPE_CAST
I want to exclude abnormal experience values,REMOVE_OUTLIERS_COLUMN
I need to standard scale price,STANDARDIZE_COLUMN
set status datatype as integer,TYPE_CAST
I need to salary remove outliers,REMOVE_OUTLIERS_COLUMN
convert price to 0-1 range,NORMALIZE_COLUMN
can you clean duplicates,REMOVE_DUPLICATES_ROWS
assign labels to city,LABEL_ENCODE_COLUMN
update status type to integer,TYPE_CAST
can you resolve undefined issue in category,FILL_NA
use average strategy to treat empty values in gender,FILL_NA
fix empty values in status with median,FILL_NA
remove redundant rows,REMOVE_DUPLICATES_ROWS
could you make department a int column,TYPE_CAST
"rescale experience to [0,1]",NORMALIZE_COLUMN
I need to get rid of outliers in age,REMOVE_OUTLIERS_COLUMN
convert department into numeric labels,LABEL_ENCODE_COLUMN
convert age to 0-1 range,NORMALIZE_COLUMN
"rescale price to [0,1]",NORMALIZE_COLUMN
label encode gender,LABEL_ENCODE_COLUMN
median imputation for country,FILL_NA
normalize income,NORMALIZE_COLUMN
I want to convert rating to z scores,STANDARDIZE_COLUMN
standard scale age,STANDARDIZE_COLUMN
fill na in country using average,FILL_NA
please apply mean imputation on department,FILL_NA
filter extreme values from age,REMOVE_OUTLIERS_COLUMN
drop all duplicates,REMOVE_DUPLICATES_ROWS
make country a int column,TYPE_CAST
I want to apply mode imputation on department,FILL_NA
kindly gender remove,DROP_COLUMN
encode status,LABEL_ENCODE_COLUMN
I want to category encode,LABEL_ENCODE_COLUMN
kindly get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
help me to most frequent value imputation for country,FILL_NA
kindly perform missing value imputation on status using median,FILL_NA
can you country convert to float,TYPE_CAST
clean outliers from rating,REMOVE_OUTLIERS_COLUMN
transform category into integer type,TYPE_CAST
get rid of duplicate rows,REMOVE_DUPLICATES_ROWS
convert department into numeric labels,LABEL_ENCODE_COLUMN
scale income between 0 and 1,NORMALIZE_COLUMN
"rescale rating to [0,1]",NORMALIZE_COLUMN
drop all duplicates,REMOVE_DUPLICATES_ROWS
please turn city into float,TYPE_CAST
discard the city field,DROP_COLUMN
remove the department feature,DROP_COLUMN
handle unknown values for department with mean,FILL_NA
drop city,DROP_COLUMN
get rid of outliers in price,REMOVE_OUTLIERS_COLUMN
rescale score using min max normalization,NORMALIZE_COLUMN
could you discard the country field,DROP_COLUMN
detect and remove outliers for rating,REMOVE_OUTLIERS_COLUMN
perform standard scaling on price,STANDARDIZE_COLUMN
exclude abnormal salary values,REMOVE_OUTLIERS_COLUMN
I need to convert category into numeric labels,LABEL_ENCODE_COLUMN
normalize quantity,NORMALIZE_COLUMN
clean outliers from rating,REMOVE_OUTLIERS_COLUMN
quantity normalization,NORMALIZE_COLUMN
help me to gender remove,DROP_COLUMN
get rid of outliers in quantity,REMOVE_OUTLIERS_COLUMN
turn country into integer,TYPE_CAST
kindly erase status,DROP_COLUMN
make price between 0 and 1,NORMALIZE_COLUMN
help me to fill empty values in city using median,FILL_NA
make gender a float column,TYPE_CAST
perform standard scaling on quantity,STANDARDIZE_COLUMN
I want to drop anomalous data points in income,REMOVE_OUTLIERS_COLUMN
use average strategy to treat NaN values in status,FILL_NA
convert department to numbers,LABEL_ENCODE_COLUMN
transform status using label encoder,LABEL_ENCODE_COLUMN
can you typecast department into integer,TYPE_CAST
trim extreme observations in price,REMOVE_OUTLIERS_COLUMN
I need to remove duplicate rows,REMOVE_DUPLICATES_ROWS
perform standard scaling on rating,STANDARDIZE_COLUMN
I want to impute undefined entries in city using average,FILL_NA
please make price between 0 and 1,NORMALIZE_COLUMN
help me to make country a integer column,TYPE_CAST
remove extreme price values,REMOVE_OUTLIERS_COLUMN
