sentence,intent
kindly drop all duplicates,REMOVE_DUPLICATES_ROWS
please replace undefined data in gender with mode,FILL_NA
I want to encode categories in category as integers,LABEL_ENCODE_COLUMN
clean duplicate observations,REMOVE_DUPLICATES_ROWS
delete repeated records,REMOVE_DUPLICATES_ROWS
help me to transform quantity to zero mean and unit variance,STANDARDIZE_COLUMN
could you convert city to integer,TYPE_CAST
perform standard scaling on score,STANDARDIZE_COLUMN
eliminate column named category,DROP_COLUMN
convert status to integer,TYPE_CAST
transform gender into string type,TYPE_CAST
convert country to int,TYPE_CAST
apply feature scaling to salary,NORMALIZE_COLUMN
delete country from the dataset,DROP_COLUMN
eliminate column named department,DROP_COLUMN
convert city to integer,TYPE_CAST
remove redundant rows,REMOVE_DUPLICATES_ROWS
standardize price,STANDARDIZE_COLUMN
please standardize experience,STANDARDIZE_COLUMN
could you exclude status column,DROP_COLUMN
trim extreme observations in score,REMOVE_OUTLIERS_COLUMN
perform normalization on experience,NORMALIZE_COLUMN
use mode strategy to treat missing values in department,FILL_NA
apply standard scaler to score,STANDARDIZE_COLUMN
eliminate abnormal values in quantity,REMOVE_OUTLIERS_COLUMN
kindly transform age to zero mean and unit variance,STANDARDIZE_COLUMN
filter extreme values from age,REMOVE_OUTLIERS_COLUMN
eliminate duplicate entries from dataset,REMOVE_DUPLICATES_ROWS
convert city into numeric labels,LABEL_ENCODE_COLUMN
drop column department,DROP_COLUMN
scale salary between 0 and 1,NORMALIZE_COLUMN
I need to perform normalization on rating,NORMALIZE_COLUMN
standardize age,STANDARDIZE_COLUMN
could you scale price between 0 and 1,NORMALIZE_COLUMN
replace missing data in category with average,FILL_NA
use mean strategy to treat undefined values in category,FILL_NA
cast category as float,TYPE_CAST
set city datatype as string,TYPE_CAST
exclude gender column,DROP_COLUMN
apply min max scaling to salary,NORMALIZE_COLUMN
exclude status column,DROP_COLUMN
trim extreme observations in rating,REMOVE_OUTLIERS_COLUMN
set department datatype as int,TYPE_CAST
replace blank data in country with most common value,FILL_NA
fill blank values in city using median,FILL_NA
kindly remove the city feature,DROP_COLUMN
can you remove duplicate rows,REMOVE_DUPLICATES_ROWS
perform normalization on age,NORMALIZE_COLUMN
fill missing values in city using average,FILL_NA
set city datatype as float,TYPE_CAST
I want to apply z score normalization to experience,STANDARDIZE_COLUMN
apply average imputation on status,FILL_NA
could you discard the gender field,DROP_COLUMN
transform category using label encoder,LABEL_ENCODE_COLUMN
map country categories to numbers,LABEL_ENCODE_COLUMN
I want to drop column country,DROP_COLUMN
perform standard scaling on age,STANDARDIZE_COLUMN
